bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
5,5113,15,16,14,14,101,261,2020-05-16 09:15:00
5,5114,6,6,6,4,21,82,2020-05-16 09:15:00
5,5116,5,4,3,4,40,79,2020-05-16 09:15:00
5,5117,2,3,2,2,22,32,2020-05-16 09:15:00
5,5119,6,0,0,4,39,44,2020-05-16 09:15:00
5,5120,1,1,0,1,15,21,2020-05-16 09:15:00
5,5122,3,6,6,3,47,46,2020-05-16 09:15:00
5,5124,5,5,4,5,111,97,2020-05-16 09:15:00
5,5154,5,8,6,5,20,45,2020-05-16 09:15:00
5,5158,6,2,1,6,46,46,2020-05-16 09:15:00
5,5162,7,5,3,6,34,86,2020-05-16 09:15:00
5,5166,4,1,1,4,26,35,2020-05-16 09:15:00
5,5170,9,11,4,8,66,103,2020-05-16 09:15:00
5,5314,16,13,10,11,72,213,2020-05-16 09:15:00
5,5315,28,9,8,18,118,362,2020-05-16 09:15:00
5,5316,4,0,0,2,34,54,2020-05-16 09:15:00
5,5334,10,27,25,7,77,248,2020-05-16 09:15:00
5,5358,6,4,1,5,31,48,2020-05-16 09:15:00
5,5362,7,6,3,7,27,53,2020-05-16 09:15:00
5,5366,3,2,1,3,5,48,2020-05-16 09:15:00
5,5370,3,3,2,3,12,24,2020-05-16 09:15:00
5,5374,7,0,0,7,41,57,2020-05-16 09:15:00
5,5378,4,1,1,4,22,31,2020-05-16 09:15:00
5,5382,6,1,0,6,22,70,2020-05-16 09:15:00
5,5512,2,1,0,2,46,20,2020-05-16 09:15:00
5,5513,6,4,0,4,62,72,2020-05-16 09:15:00
5,5515,8,7,5,7,65,202,2020-05-16 09:15:00
5,5554,5,3,3,5,27,53,2020-05-16 09:15:00
5,5558,3,1,0,3,18,18,2020-05-16 09:15:00
5,5562,14,0,0,14,111,192,2020-05-16 09:15:00
5,5566,5,6,6,5,32,57,2020-05-16 09:15:00
5,5570,4,0,0,4,35,20,2020-05-16 09:15:00
5,5711,4,3,3,4,37,110,2020-05-16 09:15:00
5,5754,3,1,0,3,18,32,2020-05-16 09:15:00
5,5758,4,2,2,3,26,46,2020-05-16 09:15:00
5,5762,5,2,2,5,25,21,2020-05-16 09:15:00
5,5766,2,1,1,2,27,55,2020-05-16 09:15:00
5,5770,6,4,3,6,58,94,2020-05-16 09:15:00
5,5774,5,5,5,4,48,73,2020-05-16 09:15:00
5,5911,8,1,1,6,95,160,2020-05-16 09:15:00
5,5913,9,6,4,9,64,246,2020-05-16 09:15:00
5,5914,5,3,1,5,52,40,2020-05-16 09:15:00
5,5915,6,1,0,5,42,47,2020-05-16 09:15:00
5,5916,4,4,4,4,23,46,2020-05-16 09:15:00
5,5954,6,1,0,6,44,64,2020-05-16 09:15:00
5,5958,8,2,2,8,58,63,2020-05-16 09:15:00
5,5962,8,6,2,8,51,78,2020-05-16 09:15:00
5,5966,3,2,2,3,23,24,2020-05-16 09:15:00
5,5970,6,1,1,6,39,96,2020-05-16 09:15:00
5,5974,7,0,0,6,51,42,2020-05-16 09:15:00
5,5978,8,0,0,8,52,81,2020-05-16 09:15:00
6,6411,6,4,3,4,24,51,2020-05-16 09:15:00
6,6412,16,23,17,12,85,255,2020-05-16 09:15:00
6,6413,2,2,2,2,46,68,2020-05-16 09:15:00
6,6414,5,7,6,4,58,84,2020-05-16 09:15:00
6,6431,5,1,0,5,16,29,2020-05-16 09:15:00
6,6432,2,8,4,2,5,22,2020-05-16 09:15:00
6,6433,2,2,2,2,14,15,2020-05-16 09:15:00
6,6434,3,0,0,3,8,24,2020-05-16 09:15:00
6,6435,4,4,3,4,38,55,2020-05-16 09:15:00
6,6436,2,2,2,2,13,24,2020-05-16 09:15:00
6,6437,2,8,7,2,25,118,2020-05-16 09:15:00
6,6438,2,9,8,2,20,36,2020-05-16 09:15:00
6,6439,2,1,1,2,14,8,2020-05-16 09:15:00
6,6440,5,4,1,5,66,68,2020-05-16 09:15:00
6,6531,4,12,7,4,50,227,2020-05-16 09:15:00
6,6532,2,1,0,2,17,44,2020-05-16 09:15:00
6,6533,3,0,0,3,19,40,2020-05-16 09:15:00
6,6534,4,4,2,3,52,138,2020-05-16 09:15:00
6,6535,4,1,1,4,28,14,2020-05-16 09:15:00
6,6611,6,3,2,6,50,140,2020-05-16 09:15:00
6,6631,4,5,3,4,16,64,2020-05-16 09:15:00
6,6632,3,0,0,3,32,42,2020-05-16 09:15:00
6,6633,4,0,0,4,17,24,2020-05-16 09:15:00
6,6634,3,1,1,3,31,20,2020-05-16 09:15:00
6,6635,7,1,1,7,34,92,2020-05-16 09:15:00
6,6636,3,1,0,3,36,22,2020-05-16 09:15:00
7,7111,5,0,0,4,49,60,2020-05-16 09:15:00
7,7131,2,1,0,2,7,18,2020-05-16 09:15:00
7,7132,2,0,0,2,10,11,2020-05-16 09:15:00
7,7133,4,0,0,4,22,27,2020-05-16 09:15:00
7,7134,2,0,0,2,14,14,2020-05-16 09:15:00
7,7135,2,0,0,2,12,5,2020-05-16 09:15:00
7,7137,4,0,0,4,26,18,2020-05-16 09:15:00
7,7138,5,0,0,5,38,40,2020-05-16 09:15:00
7,7140,2,0,0,2,10,4,2020-05-16 09:15:00
7,7141,5,3,3,5,22,25,2020-05-16 09:15:00
7,7143,4,0,0,4,18,21,2020-05-16 09:15:00
7,7211,4,2,0,3,39,80,2020-05-16 09:15:00
7,7231,2,2,0,2,19,18,2020-05-16 09:15:00
7,7232,2,0,0,2,11,6,2020-05-16 09:15:00
7,7233,2,1,1,2,15,1,2020-05-16 09:15:00
7,7235,2,0,0,2,10,6,2020-05-16 09:15:00
7,7311,1,0,0,1,7,15,2020-05-16 09:15:00
7,7312,1,3,3,1,51,123,2020-05-16 09:15:00
7,7313,3,0,0,2,13,6,2020-05-16 09:15:00
7,7314,4,1,1,4,50,80,2020-05-16 09:15:00
7,7315,2,6,3,2,52,93,2020-05-16 09:15:00
7,7316,1,0,0,1,11,10,2020-05-16 09:15:00
7,7317,1,0,0,1,2,14,2020-05-16 09:15:00
7,7318,3,2,2,2,11,25,2020-05-16 09:15:00
7,7319,1,0,0,1,11,20,2020-05-16 09:15:00
7,7320,1,1,1,1,6,8,2020-05-16 09:15:00
7,7331,1,0,0,1,4,3,2020-05-16 09:15:00
7,7332,2,1,1,2,6,11,2020-05-16 09:15:00
7,7333,2,0,0,2,3,9,2020-05-16 09:15:00
7,7334,2,0,0,2,19,10,2020-05-16 09:15:00
7,7335,1,0,0,1,6,9,2020-05-16 09:15:00
7,7336,1,0,0,1,4,12,2020-05-16 09:15:00
7,7337,2,0,0,2,7,10,2020-05-16 09:15:00
7,7339,2,7,3,2,16,12,2020-05-16 09:15:00
7,7340,1,0,0,1,7,2,2020-05-16 09:15:00
8,8111,10,15,9,9,204,320,2020-05-16 09:15:00
8,8115,4,3,2,4,22,35,2020-05-16 09:15:00
8,8116,6,8,1,4,39,49,2020-05-16 09:15:00
8,8117,4,2,1,3,36,39,2020-05-16 09:15:00
8,8118,5,15,9,4,134,83,2020-05-16 09:15:00
8,8119,2,6,4,2,63,45,2020-05-16 09:15:00
8,8121,1,11,6,1,64,44,2020-05-16 09:15:00
8,8125,2,0,0,2,12,43,2020-05-16 09:15:00
8,8126,1,2,1,1,2,10,2020-05-16 09:15:00
8,8127,2,4,2,2,13,34,2020-05-16 09:15:00
8,8128,3,7,5,3,34,34,2020-05-16 09:15:00
8,8135,1,2,1,1,10,14,2020-05-16 09:15:00
8,8136,3,4,4,3,24,26,2020-05-16 09:15:00
8,8211,1,1,1,1,7,13,2020-05-16 09:15:00
8,8212,4,0,0,4,46,125,2020-05-16 09:15:00
8,8215,3,5,3,3,15,45,2020-05-16 09:15:00
8,8216,2,0,0,2,4,11,2020-05-16 09:15:00
8,8221,6,13,9,6,78,240,2020-05-16 09:15:00
8,8222,5,8,6,3,29,116,2020-05-16 09:15:00
8,8225,3,1,0,3,6,11,2020-05-16 09:15:00
8,8226,4,0,0,4,10,38,2020-05-16 09:15:00
8,8231,2,3,3,2,32,40,2020-05-16 09:15:00
8,8235,2,2,1,2,10,12,2020-05-16 09:15:00
8,8236,2,0,0,2,6,12,2020-05-16 09:15:00
8,8237,1,0,0,1,3,11,2020-05-16 09:15:00
8,8311,4,10,9,4,52,143,2020-05-16 09:15:00
8,8315,4,0,0,4,58,69,2020-05-16 09:15:00
8,8316,3,2,1,3,4,31,2020-05-16 09:15:00
8,8317,6,7,2,6,74,50,2020-05-16 09:15:00
8,8325,2,3,1,2,5,8,2020-05-16 09:15:00
8,8326,5,17,3,2,41,63,2020-05-16 09:15:00
8,8327,1,4,4,1,13,7,2020-05-16 09:15:00
8,8335,6,2,1,5,28,59,2020-05-16 09:15:00
8,8336,1,1,1,1,11,14,2020-05-16 09:15:00
8,8337,2,3,3,2,11,24,2020-05-16 09:15:00
8,8415,2,1,1,1,20,36,2020-05-16 09:15:00
8,8416,5,12,12,2,22,94,2020-05-16 09:15:00
8,8417,1,6,3,1,16,14,2020-05-16 09:15:00
8,8421,3,5,2,3,67,88,2020-05-16 09:15:00
8,8425,2,3,1,2,23,7,2020-05-16 09:15:00
8,8426,1,1,0,1,18,9,2020-05-16 09:15:00
8,8435,3,3,3,3,43,33,2020-05-16 09:15:00
8,8436,5,4,2,4,16,46,2020-05-16 09:15:00
8,8437,2,0,0,2,14,13,2020-05-16 09:15:00
9,9161,2,0,0,1,17,37,2020-05-16 09:15:00
9,9162,28,81,62,26,228,596,2020-05-16 09:15:00
9,9163,1,5,4,1,50,20,2020-05-16 09:15:00
9,9171,3,0,0,2,4,33,2020-05-16 09:15:00
9,9172,3,2,2,3,5,17,2020-05-16 09:15:00
9,9173,2,2,2,2,6,22,2020-05-16 09:15:00
9,9174,1,4,3,1,45,23,2020-05-16 09:15:00
9,9175,1,1,1,1,6,14,2020-05-16 09:15:00
9,9176,3,2,2,3,27,50,2020-05-16 09:15:00
9,9177,1,0,0,1,11,16,2020-05-16 09:15:00
9,9178,1,3,2,1,5,19,2020-05-16 09:15:00
9,9179,1,0,0,1,5,10,2020-05-16 09:15:00
9,9180,2,0,0,2,55,60,2020-05-16 09:15:00
9,9181,1,1,0,1,6,4,2020-05-16 09:15:00
9,9182,1,1,1,1,30,8,2020-05-16 09:15:00
9,9183,1,4,1,1,19,10,2020-05-16 09:15:00
9,9184,2,0,0,2,8,10,2020-05-16 09:15:00
9,9185,3,2,2,2,8,9,2020-05-16 09:15:00
9,9186,1,1,0,1,6,7,2020-05-16 09:15:00
9,9187,5,16,10,5,14,53,2020-05-16 09:15:00
9,9188,5,7,2,5,46,40,2020-05-16 09:15:00
9,9189,3,4,3,2,15,46,2020-05-16 09:15:00
9,9190,3,0,0,3,26,18,2020-05-16 09:15:00
9,9261,4,1,1,3,29,35,2020-05-16 09:15:00
9,9262,3,1,1,2,18,29,2020-05-16 09:15:00
9,9263,1,1,1,1,24,20,2020-05-16 09:15:00
9,9271,2,9,4,2,10,25,2020-05-16 09:15:00
9,9272,2,0,0,2,12,10,2020-05-16 09:15:00
9,9273,3,0,0,3,24,8,2020-05-16 09:15:00
9,9274,1,2,1,1,3,7,2020-05-16 09:15:00
9,9275,1,1,1,1,14,4,2020-05-16 09:15:00
9,9276,2,1,1,2,13,12,2020-05-16 09:15:00
9,9277,2,4,4,2,26,11,2020-05-16 09:15:00
9,9278,2,2,1,2,21,6,2020-05-16 09:15:00
9,9279,2,4,2,2,8,9,2020-05-16 09:15:00
9,9361,1,1,1,1,11,15,2020-05-16 09:15:00
9,9362,4,38,29,4,89,203,2020-05-16 09:15:00
9,9363,1,12,5,1,20,65,2020-05-16 09:15:00
9,9371,1,2,1,1,8,6,2020-05-16 09:15:00
9,9372,1,0,0,1,8,9,2020-05-16 09:15:00
9,9373,1,2,1,1,9,26,2020-05-16 09:15:00
9,9375,2,4,4,2,4,10,2020-05-16 09:15:00
9,9376,4,4,4,4,29,19,2020-05-16 09:15:00
9,9461,4,4,2,1,28,34,2020-05-16 09:15:00
9,9462,5,1,0,2,14,53,2020-05-16 09:15:00
9,9464,1,0,0,1,9,33,2020-05-16 09:15:00
9,9471,2,0,0,2,12,5,2020-05-16 09:15:00
9,9472,1,0,0,1,7,2,2020-05-16 09:15:00
9,9474,2,1,0,2,9,14,2020-05-16 09:15:00
9,9475,2,1,1,2,5,12,2020-05-16 09:15:00
9,9476,1,2,2,1,2,15,2020-05-16 09:15:00
9,9477,1,0,0,1,6,34,2020-05-16 09:15:00
9,9478,2,5,3,2,11,18,2020-05-16 09:15:00
9,9479,2,0,0,2,12,8,2020-05-16 09:15:00
9,9561,2,1,1,2,13,19,2020-05-16 09:15:00
9,9562,2,0,0,2,3,23,2020-05-16 09:15:00
9,9563,2,2,2,2,22,30,2020-05-16 09:15:00
9,9564,8,8,8,6,112,131,2020-05-16 09:15:00
9,9571,3,2,1,3,17,14,2020-05-16 09:15:00
9,9572,1,0,0,1,3,3,2020-05-16 09:15:00
9,9574,3,0,0,3,10,13,2020-05-16 09:15:00
9,9575,3,1,0,2,18,53,2020-05-16 09:15:00
9,9576,1,0,0,1,6,4,2020-05-16 09:15:00
9,9577,2,1,1,2,5,11,2020-05-16 09:15:00
9,9661,2,8,6,1,12,54,2020-05-16 09:15:00
9,9662,2,7,5,2,4,47,2020-05-16 09:15:00
9,9663,3,7,7,3,59,113,2020-05-16 09:15:00
9,9671,1,0,0,1,4,6,2020-05-16 09:15:00
9,9672,4,1,1,4,7,49,2020-05-16 09:15:00
9,9673,1,1,0,1,51,118,2020-05-16 09:15:00
9,9674,2,0,0,2,12,4,2020-05-16 09:15:00
9,9675,1,1,0,1,4,9,2020-05-16 09:15:00
9,9676,1,0,0,1,8,6,2020-05-16 09:15:00
9,9677,1,0,0,1,6,3,2020-05-16 09:15:00
9,9678,2,0,0,2,11,9,2020-05-16 09:15:00
9,9679,1,1,1,1,4,8,2020-05-16 09:15:00
9,9761,3,2,0,2,38,108,2020-05-16 09:15:00
9,9762,1,1,1,1,14,17,2020-05-16 09:15:00
9,9763,1,1,1,1,3,28,2020-05-16 09:15:00
9,9764,1,0,0,1,12,19,2020-05-16 09:15:00
9,9771,2,4,2,2,12,14,2020-05-16 09:15:00
9,9772,2,0,0,2,2,10,2020-05-16 09:15:00
9,9773,2,0,0,2,6,18,2020-05-16 09:15:00
9,9774,4,0,0,4,20,47,2020-05-16 09:15:00
9,9775,2,2,0,2,6,13,2020-05-16 09:15:00
9,9776,2,0,0,2,8,7,2020-05-16 09:15:00
9,9777,2,0,0,2,12,8,2020-05-16 09:15:00
9,9778,2,1,0,2,12,8,2020-05-16 09:15:00
9,9779,3,0,0,3,14,22,2020-05-16 09:15:00
9,9780,1,1,1,1,20,16,2020-05-16 09:15:00
10,10041,7,5,4,7,80,140,2020-05-16 09:15:00
10,10042,2,0,0,2,20,4,2020-05-16 09:15:00
10,10043,3,0,0,3,16,24,2020-05-16 09:15:00
10,10044,4,1,1,3,42,29,2020-05-16 09:15:00
10,10045,2,11,5,2,105,167,2020-05-16 09:15:00
10,10046,1,1,1,1,2,14,2020-05-16 09:15:00
11,11000,61,74,67,42,449,1094,2020-05-16 09:15:00
12,12051,3,0,0,3,11,49,2020-05-16 09:15:00
12,12052,2,0,0,2,53,56,2020-05-16 09:15:00
12,12053,1,0,0,1,13,28,2020-05-16 09:15:00
12,12054,4,5,3,4,29,38,2020-05-16 09:15:00
12,12060,2,13,2,2,43,69,2020-05-16 09:15:00
12,12061,5,0,0,5,14,56,2020-05-16 09:15:00
12,12062,3,0,0,3,21,20,2020-05-16 09:15:00
12,12063,3,1,0,2,10,15,2020-05-16 09:15:00
12,12064,3,1,1,3,21,18,2020-05-16 09:15:00
12,12065,5,1,1,5,29,30,2020-05-16 09:15:00
12,12066,1,3,1,1,23,17,2020-05-16 09:15:00
12,12067,4,2,2,4,81,72,2020-05-16 09:15:00
12,12068,3,0,0,3,18,24,2020-05-16 09:15:00
12,12069,3,1,1,3,36,63,2020-05-16 09:15:00
12,12070,2,1,0,2,9,16,2020-05-16 09:15:00
12,12071,3,0,0,3,13,14,2020-05-16 09:15:00
12,12072,2,0,0,2,13,9,2020-05-16 09:15:00
12,12073,4,0,0,4,18,23,2020-05-16 09:15:00
13,13003,2,1,1,2,43,76,2020-05-16 09:15:00
13,13004,1,0,0,1,4,50,2020-05-16 09:15:00
13,13071,5,2,0,5,30,63,2020-05-16 09:15:00
13,13072,6,0,0,4,32,34,2020-05-16 09:15:00
13,13073,4,0,0,4,36,33,2020-05-16 09:15:00
13,13074,2,0,0,2,20,29,2020-05-16 09:15:00
13,13075,7,1,1,7,61,169,2020-05-16 09:15:00
13,13076,7,1,0,7,35,123,2020-05-16 09:15:00
14,14511,3,4,3,3,28,148,2020-05-16 09:15:00
14,14521,6,4,2,6,39,51,2020-05-16 09:15:00
14,14522,5,0,0,5,39,32,2020-05-16 09:15:00
14,14523,4,0,0,4,35,57,2020-05-16 09:15:00
14,14524,5,5,5,5,31,86,2020-05-16 09:15:00
14,14612,12,3,2,6,60,228,2020-05-16 09:15:00
14,14625,6,4,2,5,16,47,2020-05-16 09:15:00
14,14626,6,0,0,6,28,38,2020-05-16 09:15:00
14,14627,5,1,0,5,52,42,2020-05-16 09:15:00
14,14628,6,29,14,6,55,71,2020-05-16 09:15:00
14,14713,8,4,2,7,145,282,2020-05-16 09:15:00
14,14729,3,0,0,3,23,31,2020-05-16 09:15:00
14,14730,8,0,0,8,44,36,2020-05-16 09:15:00
15,15001,1,0,0,1,2,4,2020-05-16 09:15:00
15,15002,6,9,5,5,81,222,2020-05-16 09:15:00
15,15003,7,1,1,5,39,187,2020-05-16 09:15:00
15,15081,2,0,0,2,7,12,2020-05-16 09:15:00
15,15082,3,0,0,3,33,34,2020-05-16 09:15:00
15,15083,2,3,0,2,10,28,2020-05-16 09:15:00
15,15084,3,0,0,3,28,29,2020-05-16 09:15:00
15,15085,4,0,0,4,18,44,2020-05-16 09:15:00
15,15086,2,1,1,2,10,22,2020-05-16 09:15:00
15,15087,3,0,0,3,28,9,2020-05-16 09:15:00
15,15088,2,0,0,2,7,16,2020-05-16 09:15:00
15,15089,4,0,0,4,26,47,2020-05-16 09:15:00
15,15090,2,0,0,2,27,21,2020-05-16 09:15:00
15,15091,2,0,0,2,35,28,2020-05-16 09:15:00
16,16051,2,2,0,2,26,70,2020-05-16 09:15:00
16,16052,1,3,2,1,5,41,2020-05-16 09:15:00
16,16053,2,3,2,1,24,97,2020-05-16 09:15:00
16,16054,1,2,1,1,18,16,2020-05-16 09:15:00
16,16055,1,0,0,1,7,9,2020-05-16 09:15:00
16,16056,1,0,0,1,17,27,2020-05-16 09:15:00
16,16061,3,2,1,3,11,19,2020-05-16 09:15:00
16,16062,3,7,4,3,41,40,2020-05-16 09:15:00
16,16063,3,0,0,3,23,64,2020-05-16 09:15:00
16,16064,3,3,2,3,40,33,2020-05-16 09:15:00
16,16065,1,0,0,1,3,6,2020-05-16 09:15:00
16,16066,2,4,3,2,17,31,2020-05-16 09:15:00
16,16067,2,1,0,2,14,27,2020-05-16 09:15:00
16,16068,1,0,0,1,9,5,2020-05-16 09:15:00
16,16069,1,0,0,1,5,3,2020-05-16 09:15:00
16,16070,2,0,0,2,7,9,2020-05-16 09:15:00
16,16071,3,4,3,3,44,82,2020-05-16 09:15:00
16,16072,1,0,0,1,4,4,2020-05-16 09:15:00
16,16073,1,0,0,1,10,12,2020-05-16 09:15:00
16,16074,1,0,0,1,12,4,2020-05-16 09:15:00
16,16075,1,0,0,1,5,1,2020-05-16 09:15:00
16,16076,1,4,4,1,7,8,2020-05-16 09:15:00
16,16077,2,0,0,1,24,36,2020-05-16 09:15:00
