bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
3,3355,4,0,0,2,21,38,2020-08-31 12:15:00
3,3356,3,0,0,2,6,9,2020-08-31 12:15:00
3,3357,3,2,0,2,17,21,2020-08-31 12:15:00
3,3358,3,1,1,3,10,23,2020-08-31 12:15:00
3,3359,3,0,0,2,9,22,2020-08-31 12:15:00
3,3360,2,0,0,2,15,67,2020-08-31 12:15:00
3,3361,2,0,0,2,3,12,2020-08-31 12:15:00
3,3401,1,0,0,1,13,9,2020-08-31 12:15:00
3,3402,1,2,0,1,7,13,2020-08-31 12:15:00
3,3403,5,0,0,3,54,105,2020-08-31 12:15:00
3,3404,4,2,1,3,26,90,2020-08-31 12:15:00
3,3405,2,0,0,1,20,20,2020-08-31 12:15:00
3,3451,3,0,0,2,8,21,2020-08-31 12:15:00
3,3452,4,0,0,3,8,36,2020-08-31 12:15:00
3,3453,3,2,1,3,18,18,2020-08-31 12:15:00
3,3454,11,1,0,7,35,83,2020-08-31 12:15:00
3,3455,2,0,0,2,5,32,2020-08-31 12:15:00
3,3456,1,0,0,1,6,24,2020-08-31 12:15:00
3,3457,4,0,0,2,27,15,2020-08-31 12:15:00
3,3458,1,0,0,1,3,7,2020-08-31 12:15:00
3,3459,7,2,0,6,56,68,2020-08-31 12:15:00
3,3460,5,0,0,3,16,25,2020-08-31 12:15:00
3,3461,2,0,0,2,5,11,2020-08-31 12:15:00
3,3462,1,0,0,1,1,7,2020-08-31 12:15:00
4,4011,10,3,3,9,44,127,2020-08-31 12:15:00
4,4012,4,1,0,3,24,39,2020-08-31 12:15:00
5,5111,13,5,4,11,62,231,2020-08-31 12:15:00
5,5112,15,8,6,9,81,169,2020-08-31 12:15:00
5,5113,17,5,5,14,103,319,2020-08-31 12:15:00
5,5114,7,1,1,4,22,76,2020-08-31 12:15:00
5,5116,6,0,0,4,34,64,2020-08-31 12:15:00
5,5117,2,1,0,2,32,23,2020-08-31 12:15:00
5,5119,7,0,0,4,27,66,2020-08-31 12:15:00
5,5120,1,1,1,1,16,20,2020-08-31 12:15:00
5,5122,4,0,0,3,30,56,2020-08-31 12:15:00
5,5124,7,2,1,5,56,106,2020-08-31 12:15:00
5,5154,8,1,1,5,32,43,2020-08-31 12:15:00
5,5158,5,0,0,4,17,35,2020-08-31 12:15:00
5,5162,7,2,1,5,25,89,2020-08-31 12:15:00
5,5166,4,0,0,4,19,25,2020-08-31 12:15:00
5,5170,11,5,3,8,115,92,2020-08-31 12:15:00
5,5314,18,3,2,11,52,242,2020-08-31 12:15:00
5,5315,31,11,8,18,79,399,2020-08-31 12:15:00
5,5316,5,1,0,2,27,79,2020-08-31 12:15:00
5,5334,13,4,3,7,38,241,2020-08-31 12:15:00
5,5358,7,0,0,5,40,40,2020-08-31 12:15:00
5,5362,7,0,0,7,25,51,2020-08-31 12:15:00
5,5366,3,0,0,3,4,26,2020-08-31 12:15:00
5,5370,3,0,0,3,5,31,2020-08-31 12:15:00
5,5374,7,0,0,7,38,79,2020-08-31 12:15:00
5,5378,4,0,0,4,23,29,2020-08-31 12:15:00
5,5382,7,0,0,6,20,68,2020-08-31 12:15:00
5,5512,2,1,0,2,45,22,2020-08-31 12:15:00
5,5513,8,0,0,4,51,74,2020-08-31 12:15:00
5,5515,9,6,1,7,24,245,2020-08-31 12:15:00
5,5554,6,0,0,5,31,47,2020-08-31 12:15:00
5,5558,5,0,0,3,22,29,2020-08-31 12:15:00
5,5562,15,1,0,14,77,167,2020-08-31 12:15:00
5,5566,7,0,0,5,47,61,2020-08-31 12:15:00
5,5570,6,1,1,5,38,35,2020-08-31 12:15:00
5,5711,6,2,2,4,47,123,2020-08-31 12:15:00
5,5754,3,0,0,3,15,24,2020-08-31 12:15:00
5,5758,5,1,1,3,24,52,2020-08-31 12:15:00
5,5762,5,0,0,5,24,24,2020-08-31 12:15:00
5,5766,2,0,0,2,16,61,2020-08-31 12:15:00
5,5770,8,0,0,6,76,191,2020-08-31 12:15:00
5,5774,7,1,1,5,59,86,2020-08-31 12:15:00
5,5911,8,1,1,6,62,162,2020-08-31 12:15:00
5,5913,9,1,1,9,69,222,2020-08-31 12:15:00
5,5914,7,5,3,5,28,51,2020-08-31 12:15:00
5,5915,7,1,1,5,50,64,2020-08-31 12:15:00
5,5916,4,3,2,4,16,49,2020-08-31 12:15:00
5,5954,7,1,0,6,32,100,2020-08-31 12:15:00
5,5958,9,2,0,8,33,89,2020-08-31 12:15:00
5,5962,10,2,0,8,37,83,2020-08-31 12:15:00
5,5966,3,0,0,3,17,21,2020-08-31 12:15:00
5,5970,8,0,0,7,38,105,2020-08-31 12:15:00
5,5974,9,0,0,7,31,65,2020-08-31 12:15:00
5,5978,8,0,0,8,22,95,2020-08-31 12:15:00
6,6411,7,0,0,4,35,72,2020-08-31 12:15:00
6,6412,17,5,0,12,61,242,2020-08-31 12:15:00
6,6413,4,0,0,2,22,80,2020-08-31 12:15:00
6,6414,6,2,2,4,35,69,2020-08-31 12:15:00
6,6431,5,0,0,5,21,27,2020-08-31 12:15:00
6,6432,2,0,0,2,6,23,2020-08-31 12:15:00
6,6433,2,1,0,2,3,19,2020-08-31 12:15:00
6,6434,3,0,0,3,10,19,2020-08-31 12:15:00
6,6435,7,0,0,4,32,59,2020-08-31 12:15:00
6,6436,2,0,0,2,10,19,2020-08-31 12:15:00
6,6437,2,0,0,2,19,107,2020-08-31 12:15:00
6,6438,2,2,1,2,7,25,2020-08-31 12:15:00
6,6439,2,0,0,2,8,10,2020-08-31 12:15:00
6,6440,5,2,0,5,16,66,2020-08-31 12:15:00
6,6531,6,1,0,4,50,197,2020-08-31 12:15:00
6,6532,2,0,0,2,18,43,2020-08-31 12:15:00
6,6533,4,1,1,4,20,39,2020-08-31 12:15:00
6,6534,3,0,0,3,33,124,2020-08-31 12:15:00
6,6535,4,0,0,4,18,19,2020-08-31 12:15:00
6,6611,6,1,0,6,45,156,2020-08-31 12:15:00
6,6631,5,0,0,3,19,74,2020-08-31 12:15:00
6,6632,3,0,0,3,34,42,2020-08-31 12:15:00
6,6633,4,0,0,4,15,19,2020-08-31 12:15:00
6,6634,3,0,0,3,23,20,2020-08-31 12:15:00
6,6635,7,0,0,7,49,78,2020-08-31 12:15:00
6,6636,3,0,0,3,21,23,2020-08-31 12:15:00
7,7111,6,0,0,4,62,76,2020-08-31 12:15:00
7,7131,2,1,1,2,3,15,2020-08-31 12:15:00
7,7132,2,0,0,2,7,9,2020-08-31 12:15:00
7,7133,6,0,0,4,29,26,2020-08-31 12:15:00
7,7134,2,0,0,2,6,16,2020-08-31 12:15:00
7,7135,2,0,0,2,9,4,2020-08-31 12:15:00
7,7137,4,1,0,4,26,20,2020-08-31 12:15:00
7,7138,7,0,0,5,31,57,2020-08-31 12:15:00
7,7140,2,0,0,2,4,10,2020-08-31 12:15:00
7,7141,5,1,0,5,21,25,2020-08-31 12:15:00
7,7143,4,0,0,4,11,30,2020-08-31 12:15:00
7,7211,6,2,1,3,54,73,2020-08-31 12:15:00
7,7231,2,0,0,2,6,18,2020-08-31 12:15:00
7,7232,2,0,0,2,5,10,2020-08-31 12:15:00
7,7233,2,0,0,2,14,7,2020-08-31 12:15:00
7,7235,2,0,0,2,9,7,2020-08-31 12:15:00
7,7311,1,0,0,1,5,17,2020-08-31 12:15:00
7,7312,3,0,0,1,77,92,2020-08-31 12:15:00
7,7313,3,0,0,2,17,12,2020-08-31 12:15:00
7,7314,6,2,0,4,35,87,2020-08-31 12:15:00
7,7315,2,0,0,2,31,82,2020-08-31 12:15:00
7,7316,1,0,0,1,7,14,2020-08-31 12:15:00
7,7317,2,1,1,1,8,8,2020-08-31 12:15:00
7,7318,3,0,0,2,30,26,2020-08-31 12:15:00
7,7319,3,0,0,1,11,37,2020-08-31 12:15:00
7,7320,1,0,0,1,7,7,2020-08-31 12:15:00
7,7331,1,0,0,1,3,5,2020-08-31 12:15:00
7,7332,2,0,0,2,6,9,2020-08-31 12:15:00
7,7333,2,0,0,2,7,5,2020-08-31 12:15:00
7,7334,2,0,0,2,13,16,2020-08-31 12:15:00
7,7335,1,0,0,1,8,6,2020-08-31 12:15:00
7,7336,1,0,0,1,6,13,2020-08-31 12:15:00
7,7337,2,0,0,2,4,13,2020-08-31 12:15:00
7,7339,2,1,1,2,17,7,2020-08-31 12:15:00
7,7340,1,0,0,1,7,2,2020-08-31 12:15:00
8,8111,11,8,3,9,73,245,2020-08-31 12:15:00
8,8115,6,2,2,4,24,38,2020-08-31 12:15:00
8,8116,8,3,1,4,30,71,2020-08-31 12:15:00
8,8117,5,0,0,3,47,34,2020-08-31 12:15:00
8,8118,5,7,6,4,53,95,2020-08-31 12:15:00
8,8119,4,1,1,2,20,41,2020-08-31 12:15:00
8,8121,3,0,0,1,39,44,2020-08-31 12:15:00
8,8125,2,0,0,2,19,33,2020-08-31 12:15:00
8,8126,1,0,0,1,4,8,2020-08-31 12:15:00
8,8127,4,0,0,2,14,42,2020-08-31 12:15:00
8,8128,4,1,1,3,41,41,2020-08-31 12:15:00
8,8135,2,0,0,1,13,11,2020-08-31 12:15:00
8,8136,8,0,0,4,10,60,2020-08-31 12:15:00
8,8211,3,0,0,1,9,18,2020-08-31 12:15:00
8,8212,6,0,0,4,59,105,2020-08-31 12:15:00
8,8215,3,1,1,3,6,42,2020-08-31 12:15:00
8,8216,2,0,0,2,3,12,2020-08-31 12:15:00
8,8221,6,1,0,6,96,218,2020-08-31 12:15:00
8,8222,6,0,0,3,24,91,2020-08-31 12:15:00
8,8225,3,0,0,3,8,9,2020-08-31 12:15:00
8,8226,4,1,0,4,9,34,2020-08-31 12:15:00
8,8231,4,0,0,2,26,47,2020-08-31 12:15:00
8,8235,3,0,0,3,12,16,2020-08-31 12:15:00
8,8236,2,0,0,2,5,10,2020-08-31 12:15:00
8,8237,1,0,0,1,6,8,2020-08-31 12:15:00
8,8311,6,3,2,4,21,162,2020-08-31 12:15:00
8,8315,4,0,0,4,33,47,2020-08-31 12:15:00
8,8316,3,0,0,3,4,89,2020-08-31 12:15:00
8,8317,8,0,0,6,28,77,2020-08-31 12:15:00
8,8325,2,0,0,2,7,9,2020-08-31 12:15:00
8,8326,6,2,0,2,55,58,2020-08-31 12:15:00
8,8327,1,0,0,1,2,10,2020-08-31 12:15:00
8,8335,10,0,0,6,37,67,2020-08-31 12:15:00
8,8336,2,0,0,2,22,16,2020-08-31 12:15:00
8,8337,2,0,0,2,12,12,2020-08-31 12:15:00
8,8415,3,0,0,1,17,33,2020-08-31 12:15:00
8,8416,5,0,0,2,14,93,2020-08-31 12:15:00
8,8417,1,2,0,1,6,22,2020-08-31 12:15:00
8,8421,5,0,0,4,64,92,2020-08-31 12:15:00
8,8425,2,0,0,2,8,8,2020-08-31 12:15:00
8,8426,1,0,0,1,3,11,2020-08-31 12:15:00
8,8435,3,0,0,3,30,31,2020-08-31 12:15:00
8,8436,6,1,0,4,20,51,2020-08-31 12:15:00
8,8437,2,0,0,2,8,11,2020-08-31 12:15:00
9,9161,2,0,0,1,13,33,2020-08-31 12:15:00
9,9162,35,14,7,26,144,491,2020-08-31 12:15:00
9,9163,1,0,0,1,7,24,2020-08-31 12:15:00
9,9171,3,0,0,2,8,31,2020-08-31 12:15:00
9,9172,3,0,0,3,3,17,2020-08-31 12:15:00
9,9173,2,0,0,2,8,20,2020-08-31 12:15:00
9,9174,1,0,0,1,4,26,2020-08-31 12:15:00
9,9175,1,1,1,1,7,13,2020-08-31 12:15:00
9,9176,3,0,0,3,7,56,2020-08-31 12:15:00
9,9177,1,0,0,1,16,11,2020-08-31 12:15:00
9,9178,1,0,0,1,0,20,2020-08-31 12:15:00
9,9179,1,0,0,1,7,8,2020-08-31 12:15:00
9,9180,4,1,0,2,36,60,2020-08-31 12:15:00
9,9182,1,0,0,1,3,11,2020-08-31 12:15:00
9,9183,1,1,0,1,10,10,2020-08-31 12:15:00
9,9184,2,0,0,2,6,7,2020-08-31 12:15:00
9,9185,4,0,0,2,12,34,2020-08-31 12:15:00
9,9186,1,2,0,1,4,9,2020-08-31 12:15:00
9,9187,5,0,0,5,21,51,2020-08-31 12:15:00
9,9188,6,1,0,5,53,45,2020-08-31 12:15:00
9,9189,3,0,0,2,11,51,2020-08-31 12:15:00
9,9190,3,0,0,3,15,21,2020-08-31 12:15:00
9,9261,2,1,1,2,13,45,2020-08-31 12:15:00
9,9262,4,0,0,2,19,37,2020-08-31 12:15:00
9,9263,1,0,0,1,27,16,2020-08-31 12:15:00
9,9271,2,0,0,2,3,28,2020-08-31 12:15:00
9,9272,1,0,0,1,6,8,2020-08-31 12:15:00
9,9273,3,0,0,3,19,9,2020-08-31 12:15:00
9,9274,1,0,0,1,4,6,2020-08-31 12:15:00
9,9275,1,0,0,1,5,17,2020-08-31 12:15:00
9,9276,2,0,0,2,6,10,2020-08-31 12:15:00
9,9277,1,1,1,1,4,10,2020-08-31 12:15:00
9,9278,2,0,0,2,11,2,2020-08-31 12:15:00
9,9279,2,0,0,2,13,12,2020-08-31 12:15:00
9,9361,3,1,0,1,26,26,2020-08-31 12:15:00
9,9362,4,2,1,3,55,168,2020-08-31 12:15:00
9,9363,1,1,0,1,9,47,2020-08-31 12:15:00
9,9371,1,0,0,1,9,5,2020-08-31 12:15:00
9,9372,1,0,0,1,7,10,2020-08-31 12:15:00
9,9373,1,0,0,1,13,9,2020-08-31 12:15:00
9,9375,2,0,0,2,2,12,2020-08-31 12:15:00
9,9376,4,1,0,4,34,15,2020-08-31 12:15:00
9,9377,1,0,0,1,4,8,2020-08-31 12:15:00
9,9461,5,0,0,1,30,28,2020-08-31 12:15:00
9,9462,7,0,0,2,16,52,2020-08-31 12:15:00
9,9463,3,0,0,1,9,34,2020-08-31 12:15:00
9,9464,3,0,0,1,9,27,2020-08-31 12:15:00
9,9471,1,0,0,1,3,4,2020-08-31 12:15:00
9,9472,1,0,0,1,4,3,2020-08-31 12:15:00
9,9474,2,0,0,2,4,10,2020-08-31 12:15:00
9,9475,2,1,1,2,6,11,2020-08-31 12:15:00
9,9476,1,0,0,1,14,6,2020-08-31 12:15:00
9,9477,1,0,0,1,8,29,2020-08-31 12:15:00
9,9478,3,0,0,3,17,34,2020-08-31 12:15:00
9,9479,2,0,0,2,10,10,2020-08-31 12:15:00
9,9561,2,0,0,2,10,17,2020-08-31 12:15:00
9,9562,3,2,2,3,29,113,2020-08-31 12:15:00
9,9563,4,0,0,2,13,35,2020-08-31 12:15:00
9,9564,12,3,2,6,126,160,2020-08-31 12:15:00
9,9565,1,0,0,1,4,3,2020-08-31 12:15:00
9,9571,3,1,0,3,7,17,2020-08-31 12:15:00
9,9572,1,0,0,1,1,5,2020-08-31 12:15:00
9,9574,3,0,0,3,9,17,2020-08-31 12:15:00
9,9575,2,0,0,2,10,45,2020-08-31 12:15:00
9,9576,1,0,0,1,5,5,2020-08-31 12:15:00
9,9577,2,0,0,2,4,12,2020-08-31 12:15:00
9,9661,3,0,0,1,18,47,2020-08-31 12:15:00
9,9662,2,0,0,2,6,36,2020-08-31 12:15:00
9,9663,4,1,1,3,49,108,2020-08-31 12:15:00
9,9671,1,0,0,1,4,4,2020-08-31 12:15:00
9,9672,4,0,0,4,8,43,2020-08-31 12:15:00
9,9673,1,3,2,1,37,129,2020-08-31 12:15:00
9,9674,2,0,0,2,9,2,2020-08-31 12:15:00
9,9675,1,0,0,1,3,7,2020-08-31 12:15:00
9,9676,1,0,0,1,4,6,2020-08-31 12:15:00
9,9677,1,0,0,1,2,7,2020-08-31 12:15:00
9,9678,2,0,0,2,2,4,2020-08-31 12:15:00
9,9679,1,0,0,1,5,7,2020-08-31 12:15:00
9,9761,6,1,0,3,41,112,2020-08-31 12:15:00
9,9762,1,0,0,1,6,24,2020-08-31 12:15:00
9,9763,3,0,0,1,9,35,2020-08-31 12:15:00
9,9764,3,0,0,1,2,28,2020-08-31 12:15:00
9,9771,2,1,1,2,15,11,2020-08-31 12:15:00
9,9772,2,0,0,2,2,10,2020-08-31 12:15:00
9,9773,2,0,0,2,12,12,2020-08-31 12:15:00
9,9774,4,0,0,4,16,46,2020-08-31 12:15:00
9,9775,2,0,0,2,9,19,2020-08-31 12:15:00
9,9776,2,0,0,2,12,4,2020-08-31 12:15:00
9,9777,2,0,0,2,7,13,2020-08-31 12:15:00
9,9778,2,0,0,2,11,7,2020-08-31 12:15:00
9,9779,2,1,0,2,4,12,2020-08-31 12:15:00
9,9780,2,1,0,2,6,14,2020-08-31 12:15:00
10,10041,7,1,1,7,54,104,2020-08-31 12:15:00
10,10042,2,0,0,2,12,8,2020-08-31 12:15:00
10,10043,5,0,0,3,14,38,2020-08-31 12:15:00
10,10044,4,0,0,3,21,42,2020-08-31 12:15:00
10,10045,4,4,3,2,101,157,2020-08-31 12:15:00
10,10046,1,0,0,1,4,9,2020-08-31 12:15:00
11,11000,64,18,9,42,263,1013,2020-08-31 12:15:00
12,12051,4,0,0,3,12,44,2020-08-31 12:15:00
12,12052,3,0,0,2,38,67,2020-08-31 12:15:00
12,12053,1,0,0,1,4,11,2020-08-31 12:15:00
12,12054,5,0,0,4,22,60,2020-08-31 12:15:00
12,12060,2,0,0,2,10,63,2020-08-31 12:15:00
12,12061,5,0,0,5,25,36,2020-08-31 12:15:00
12,12062,3,0,0,3,12,16,2020-08-31 12:15:00
12,12063,4,0,0,2,19,10,2020-08-31 12:15:00
12,12064,3,0,0,3,10,17,2020-08-31 12:15:00
12,12065,5,0,0,5,40,26,2020-08-31 12:15:00
12,12066,1,0,0,1,2,12,2020-08-31 12:15:00
12,12067,4,0,0,4,36,71,2020-08-31 12:15:00
12,12068,3,1,0,3,30,46,2020-08-31 12:15:00
12,12069,3,0,0,3,21,60,2020-08-31 12:15:00
12,12070,2,0,0,2,19,6,2020-08-31 12:15:00
12,12071,3,0,0,3,11,8,2020-08-31 12:15:00
12,12072,2,0,0,2,6,12,2020-08-31 12:15:00
12,12073,4,0,0,4,18,18,2020-08-31 12:15:00
13,13003,3,0,0,2,23,89,2020-08-31 12:15:00
13,13004,3,0,0,1,12,59,2020-08-31 12:15:00
13,13071,7,0,0,5,16,75,2020-08-31 12:15:00
13,13072,6,0,0,4,32,35,2020-08-31 12:15:00
13,13073,4,0,0,4,26,49,2020-08-31 12:15:00
13,13074,2,0,0,2,21,23,2020-08-31 12:15:00
13,13075,7,0,0,7,71,155,2020-08-31 12:15:00
13,13076,7,0,0,7,36,99,2020-08-31 12:15:00
14,14511,7,0,0,3,65,144,2020-08-31 12:15:00
14,14521,7,0,0,6,34,57,2020-08-31 12:15:00
14,14522,5,0,0,5,23,34,2020-08-31 12:15:00
14,14523,7,0,0,6,39,60,2020-08-31 12:15:00
14,14524,7,0,0,5,23,83,2020-08-31 12:15:00
14,14612,15,0,0,6,36,256,2020-08-31 12:15:00
14,14625,7,0,0,6,28,41,2020-08-31 12:15:00
14,14626,6,0,0,6,17,45,2020-08-31 12:15:00
14,14627,5,0,0,5,40,53,2020-08-31 12:15:00
14,14628,6,5,3,6,15,139,2020-08-31 12:15:00
14,14713,11,0,0,7,127,312,2020-08-31 12:15:00
14,14729,4,0,0,3,18,40,2020-08-31 12:15:00
14,14730,8,0,0,8,25,46,2020-08-31 12:15:00
15,15001,4,0,0,2,27,25,2020-08-31 12:15:00
15,15002,10,0,0,5,75,252,2020-08-31 12:15:00
15,15003,9,1,1,6,52,176,2020-08-31 12:15:00
15,15081,2,0,0,2,2,16,2020-08-31 12:15:00
15,15082,3,0,0,3,20,37,2020-08-31 12:15:00
15,15083,2,0,0,2,22,10,2020-08-31 12:15:00
15,15084,3,0,0,3,37,27,2020-08-31 12:15:00
15,15085,5,0,0,4,38,34,2020-08-31 12:15:00
15,15086,2,0,0,2,12,17,2020-08-31 12:15:00
15,15087,3,0,0,3,11,17,2020-08-31 12:15:00
15,15088,2,0,0,2,12,15,2020-08-31 12:15:00
15,15089,4,0,0,4,13,44,2020-08-31 12:15:00
15,15090,2,0,0,2,6,15,2020-08-31 12:15:00
15,15091,4,0,0,2,30,22,2020-08-31 12:15:00
16,16051,3,0,0,2,28,58,2020-08-31 12:15:00
16,16052,1,1,0,1,7,39,2020-08-31 12:15:00
16,16053,3,0,0,1,29,103,2020-08-31 12:15:00
16,16054,2,0,0,1,19,13,2020-08-31 12:15:00
16,16055,1,0,0,1,9,7,2020-08-31 12:15:00
16,16056,1,0,0,1,20,24,2020-08-31 12:15:00
16,16061,3,0,0,3,3,19,2020-08-31 12:15:00
16,16062,4,1,1,3,32,43,2020-08-31 12:15:00
16,16063,3,0,0,3,17,62,2020-08-31 12:15:00
16,16064,3,0,0,3,14,21,2020-08-31 12:15:00
16,16065,1,0,0,1,0,5,2020-08-31 12:15:00
16,16066,2,1,0,2,16,36,2020-08-31 12:15:00
16,16067,2,0,0,2,13,11,2020-08-31 12:15:00
16,16068,1,0,0,1,5,9,2020-08-31 12:15:00
16,16069,1,0,0,1,4,4,2020-08-31 12:15:00
16,16070,3,0,0,2,7,10,2020-08-31 12:15:00
16,16071,3,1,0,3,33,68,2020-08-31 12:15:00
16,16072,1,0,0,1,5,7,2020-08-31 12:15:00
16,16073,1,0,0,1,14,8,2020-08-31 12:15:00
16,16074,1,0,0,1,4,4,2020-08-31 12:15:00
16,16075,1,0,0,1,6,0,2020-08-31 12:15:00
16,16076,1,0,0,1,2,11,2020-08-31 12:15:00
16,16077,2,0,0,1,32,28,2020-08-31 12:15:00
