bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
5,5124,5,3,3,5,78,114,2020-06-24 12:15:00
5,5154,5,0,0,5,21,49,2020-06-24 12:15:00
5,5158,6,1,0,6,40,38,2020-06-24 12:15:00
5,5162,7,0,0,6,47,73,2020-06-24 12:15:00
5,5166,4,0,0,4,22,31,2020-06-24 12:15:00
5,5170,8,8,3,8,51,95,2020-06-24 12:15:00
5,5314,15,5,3,11,52,198,2020-06-24 12:15:00
5,5315,27,4,2,18,88,313,2020-06-24 12:15:00
5,5316,4,1,1,2,35,53,2020-06-24 12:15:00
5,5334,10,3,2,6,39,212,2020-06-24 12:15:00
5,5358,6,0,0,5,11,11,2020-06-24 12:15:00
5,5362,7,1,1,7,26,51,2020-06-24 12:15:00
5,5366,3,1,0,3,5,40,2020-06-24 12:15:00
5,5370,2,0,0,2,1,19,2020-06-24 12:15:00
5,5374,7,0,0,7,18,49,2020-06-24 12:15:00
5,5378,4,0,0,4,11,22,2020-06-24 12:15:00
5,5382,6,0,0,6,22,63,2020-06-24 12:15:00
5,5512,2,0,0,2,41,25,2020-06-24 12:15:00
5,5513,6,1,0,4,48,52,2020-06-24 12:15:00
5,5515,8,3,2,7,44,269,2020-06-24 12:15:00
5,5554,5,0,0,5,43,39,2020-06-24 12:15:00
5,5558,3,0,0,3,28,20,2020-06-24 12:15:00
5,5562,14,1,1,14,94,182,2020-06-24 12:15:00
5,5566,6,1,0,5,32,57,2020-06-24 12:15:00
5,5570,3,0,0,3,5,5,2020-06-24 12:15:00
5,5711,5,2,0,4,43,103,2020-06-24 12:15:00
5,5754,2,4,0,2,16,25,2020-06-24 12:15:00
5,5758,4,1,0,3,18,46,2020-06-24 12:15:00
5,5762,5,0,0,5,15,29,2020-06-24 12:15:00
5,5766,2,0,0,2,29,52,2020-06-24 12:15:00
5,5770,6,0,0,6,53,63,2020-06-24 12:15:00
5,5774,6,1,1,5,47,70,2020-06-24 12:15:00
5,5911,8,1,1,6,82,150,2020-06-24 12:15:00
5,5913,9,5,2,9,59,232,2020-06-24 12:15:00
5,5914,5,1,1,5,28,36,2020-06-24 12:15:00
5,5915,5,1,0,4,24,36,2020-06-24 12:15:00
5,5916,4,2,2,4,10,45,2020-06-24 12:15:00
5,5954,7,1,0,6,43,99,2020-06-24 12:15:00
5,5958,8,0,0,8,40,55,2020-06-24 12:15:00
5,5962,8,0,0,8,32,59,2020-06-24 12:15:00
5,5966,3,0,0,3,36,12,2020-06-24 12:15:00
5,5970,6,0,0,6,22,58,2020-06-24 12:15:00
5,5974,8,0,0,7,26,35,2020-06-24 12:15:00
5,5978,8,0,0,8,24,79,2020-06-24 12:15:00
6,6411,7,0,0,4,38,80,2020-06-24 12:15:00
6,6412,16,7,5,12,84,222,2020-06-24 12:15:00
6,6413,3,1,1,2,54,60,2020-06-24 12:15:00
6,6414,5,2,2,4,36,87,2020-06-24 12:15:00
6,6431,5,0,0,5,10,34,2020-06-24 12:15:00
6,6432,2,1,1,2,1,16,2020-06-24 12:15:00
6,6433,2,0,0,2,5,8,2020-06-24 12:15:00
6,6434,3,0,0,3,14,11,2020-06-24 12:15:00
6,6435,5,1,1,4,35,67,2020-06-24 12:15:00
6,6436,2,1,1,2,9,26,2020-06-24 12:15:00
6,6437,2,2,0,2,5,123,2020-06-24 12:15:00
6,6438,2,1,1,2,20,14,2020-06-24 12:15:00
6,6439,2,0,0,2,6,0,2020-06-24 12:15:00
6,6440,5,2,0,5,49,55,2020-06-24 12:15:00
6,6531,4,7,3,4,43,215,2020-06-24 12:15:00
6,6532,2,0,0,2,2,31,2020-06-24 12:15:00
6,6533,3,0,0,3,0,0,2020-06-24 12:15:00
6,6534,3,0,0,3,23,131,2020-06-24 12:15:00
6,6535,4,0,0,4,18,6,2020-06-24 12:15:00
6,6611,6,1,1,6,54,138,2020-06-24 12:15:00
6,6631,4,1,1,3,30,67,2020-06-24 12:15:00
6,6632,3,0,0,3,35,41,2020-06-24 12:15:00
6,6633,3,0,0,3,11,19,2020-06-24 12:15:00
6,6634,3,0,0,3,11,6,2020-06-24 12:15:00
6,6635,7,0,0,7,20,29,2020-06-24 12:15:00
6,6636,3,0,0,3,0,0,2020-06-24 12:15:00
7,7111,5,0,0,4,44,71,2020-06-24 12:15:00
7,7131,2,0,0,2,2,3,2020-06-24 12:15:00
7,7132,2,0,0,2,10,9,2020-06-24 12:15:00
7,7133,5,0,0,4,14,14,2020-06-24 12:15:00
7,7134,2,0,0,2,9,19,2020-06-24 12:15:00
7,7135,2,0,0,2,10,7,2020-06-24 12:15:00
7,7137,4,1,1,4,37,15,2020-06-24 12:15:00
7,7138,5,0,0,5,34,34,2020-06-24 12:15:00
7,7140,2,0,0,2,5,13,2020-06-24 12:15:00
7,7141,5,0,0,5,15,18,2020-06-24 12:15:00
7,7143,4,0,0,4,17,20,2020-06-24 12:15:00
7,7211,4,0,0,3,30,51,2020-06-24 12:15:00
7,7231,2,0,0,2,20,13,2020-06-24 12:15:00
7,7232,2,0,0,2,6,3,2020-06-24 12:15:00
7,7233,2,1,1,2,15,1,2020-06-24 12:15:00
7,7235,2,0,0,2,5,11,2020-06-24 12:15:00
7,7311,1,0,0,1,8,14,2020-06-24 12:15:00
7,7312,1,2,0,1,64,101,2020-06-24 12:15:00
7,7313,3,0,0,2,9,6,2020-06-24 12:15:00
7,7314,4,0,0,4,50,57,2020-06-24 12:15:00
7,7315,2,1,1,2,20,88,2020-06-24 12:15:00
7,7316,1,0,0,1,0,0,2020-06-24 12:15:00
7,7317,1,0,0,1,6,10,2020-06-24 12:15:00
7,7318,2,0,0,1,12,10,2020-06-24 12:15:00
7,7319,1,0,0,1,6,28,2020-06-24 12:15:00
7,7320,1,0,0,1,0,0,2020-06-24 12:15:00
7,7331,1,0,0,1,0,0,2020-06-24 12:15:00
7,7332,2,0,0,2,1,7,2020-06-24 12:15:00
7,7333,2,0,0,2,0,0,2020-06-24 12:15:00
7,7334,2,0,0,2,4,13,2020-06-24 12:15:00
7,7335,1,0,0,1,0,0,2020-06-24 12:15:00
7,7336,1,0,0,1,0,0,2020-06-24 12:15:00
7,7337,2,0,0,2,5,5,2020-06-24 12:15:00
7,7339,2,2,2,2,19,8,2020-06-24 12:15:00
7,7340,1,0,0,1,7,2,2020-06-24 12:15:00
8,8111,11,10,5,9,172,305,2020-06-24 12:15:00
8,8115,4,0,0,4,0,0,2020-06-24 12:15:00
8,8116,6,0,0,4,34,58,2020-06-24 12:15:00
8,8117,4,0,0,3,35,40,2020-06-24 12:15:00
8,8118,5,12,6,4,131,83,2020-06-24 12:15:00
8,8119,1,0,0,1,37,26,2020-06-24 12:15:00
8,8121,2,1,1,1,39,46,2020-06-24 12:15:00
8,8125,2,0,0,2,14,39,2020-06-24 12:15:00
8,8126,1,0,0,1,4,8,2020-06-24 12:15:00
8,8127,1,0,0,1,11,7,2020-06-24 12:15:00
8,8128,3,1,0,3,32,24,2020-06-24 12:15:00
8,8135,1,0,0,1,9,15,2020-06-24 12:15:00
8,8136,4,0,0,3,18,35,2020-06-24 12:15:00
8,8211,2,0,0,1,16,17,2020-06-24 12:15:00
8,8212,4,1,1,4,50,80,2020-06-24 12:15:00
8,8215,3,0,0,3,21,42,2020-06-24 12:15:00
8,8216,2,0,0,2,0,15,2020-06-24 12:15:00
8,8221,6,5,3,6,94,227,2020-06-24 12:15:00
8,8222,5,1,1,3,14,88,2020-06-24 12:15:00
8,8225,3,3,2,3,3,7,2020-06-24 12:15:00
8,8226,4,0,0,4,8,29,2020-06-24 12:15:00
8,8231,2,0,0,2,34,39,2020-06-24 12:15:00
8,8235,3,0,0,3,0,0,2020-06-24 12:15:00
8,8236,2,0,0,2,8,10,2020-06-24 12:15:00
8,8237,1,0,0,1,0,0,2020-06-24 12:15:00
8,8311,4,1,1,4,102,133,2020-06-24 12:15:00
8,8315,4,0,0,4,36,56,2020-06-24 12:15:00
8,8316,3,0,0,3,7,27,2020-06-24 12:15:00
8,8317,6,0,0,6,60,62,2020-06-24 12:15:00
8,8325,2,0,0,2,7,9,2020-06-24 12:15:00
8,8326,5,15,2,2,38,50,2020-06-24 12:15:00
8,8327,1,1,1,1,6,6,2020-06-24 12:15:00
8,8335,7,0,0,6,19,48,2020-06-24 12:15:00
8,8336,1,0,0,1,8,12,2020-06-24 12:15:00
8,8337,2,0,0,2,11,25,2020-06-24 12:15:00
8,8415,2,0,0,1,11,29,2020-06-24 12:15:00
8,8416,5,2,1,2,21,99,2020-06-24 12:15:00
8,8417,1,1,0,1,7,23,2020-06-24 12:15:00
8,8421,3,0,0,3,30,67,2020-06-24 12:15:00
8,8425,2,0,0,2,6,2,2020-06-24 12:15:00
8,8426,1,0,0,1,18,9,2020-06-24 12:15:00
8,8435,3,0,0,3,43,31,2020-06-24 12:15:00
8,8436,5,2,1,4,6,27,2020-06-24 12:15:00
8,8437,2,1,0,2,15,12,2020-06-24 12:15:00
9,9161,2,5,2,1,10,28,2020-06-24 12:15:00
9,9162,27,13,11,25,196,527,2020-06-24 12:15:00
9,9163,1,1,0,1,41,29,2020-06-24 12:15:00
9,9171,3,0,0,2,0,0,2020-06-24 12:15:00
9,9172,3,0,0,3,4,19,2020-06-24 12:15:00
9,9173,2,0,0,2,3,11,2020-06-24 12:15:00
9,9174,1,1,0,1,28,30,2020-06-24 12:15:00
9,9175,1,0,0,1,4,16,2020-06-24 12:15:00
9,9176,2,0,0,2,5,9,2020-06-24 12:15:00
9,9177,1,0,0,1,7,20,2020-06-24 12:15:00
9,9178,1,2,2,1,3,17,2020-06-24 12:15:00
9,9179,1,0,0,1,0,0,2020-06-24 12:15:00
9,9180,2,0,0,2,20,51,2020-06-24 12:15:00
9,9181,1,1,1,1,4,6,2020-06-24 12:15:00
9,9182,1,0,0,1,21,9,2020-06-24 12:15:00
9,9183,1,0,0,1,16,10,2020-06-24 12:15:00
9,9184,1,0,0,1,4,9,2020-06-24 12:15:00
9,9185,2,0,0,2,6,3,2020-06-24 12:15:00
9,9186,1,0,0,1,1,12,2020-06-24 12:15:00
9,9187,5,1,0,5,22,46,2020-06-24 12:15:00
9,9188,5,3,2,5,45,42,2020-06-24 12:15:00
9,9189,3,1,1,2,24,39,2020-06-24 12:15:00
9,9190,3,0,0,3,29,15,2020-06-24 12:15:00
9,9261,5,2,0,3,12,49,2020-06-24 12:15:00
9,9262,3,0,0,2,26,32,2020-06-24 12:15:00
9,9263,1,0,0,1,28,15,2020-06-24 12:15:00
9,9271,2,0,0,2,0,0,2020-06-24 12:15:00
9,9272,2,0,0,2,4,4,2020-06-24 12:15:00
9,9273,3,0,0,3,24,8,2020-06-24 12:15:00
9,9274,1,0,0,1,0,0,2020-06-24 12:15:00
9,9275,1,2,0,1,3,19,2020-06-24 12:15:00
9,9276,2,0,0,2,0,0,2020-06-24 12:15:00
9,9278,2,0,0,2,6,18,2020-06-24 12:15:00
9,9279,2,0,0,2,0,0,2020-06-24 12:15:00
9,9361,1,0,0,1,23,17,2020-06-24 12:15:00
9,9362,4,7,4,4,108,184,2020-06-24 12:15:00
9,9363,1,1,0,1,17,48,2020-06-24 12:15:00
9,9371,1,0,0,1,0,0,2020-06-24 12:15:00
9,9372,1,0,0,1,12,9,2020-06-24 12:15:00
9,9373,1,0,0,1,0,0,2020-06-24 12:15:00
9,9375,2,0,0,2,1,7,2020-06-24 12:15:00
9,9376,4,0,0,4,27,19,2020-06-24 12:15:00
9,9377,1,0,0,1,0,0,2020-06-24 12:15:00
9,9461,4,0,0,1,40,20,2020-06-24 12:15:00
9,9462,5,0,0,2,4,12,2020-06-24 12:15:00
9,9463,2,2,1,1,9,26,2020-06-24 12:15:00
9,9464,1,0,0,1,0,0,2020-06-24 12:15:00
9,9471,2,0,0,2,5,11,2020-06-24 12:15:00
9,9472,1,0,0,1,0,0,2020-06-24 12:15:00
9,9474,2,0,0,2,9,11,2020-06-24 12:15:00
9,9475,2,0,0,2,9,8,2020-06-24 12:15:00
9,9476,1,0,0,1,2,13,2020-06-24 12:15:00
9,9477,1,0,0,1,6,32,2020-06-24 12:15:00
9,9478,2,0,0,2,2,20,2020-06-24 12:15:00
9,9479,2,0,0,2,10,10,2020-06-24 12:15:00
9,9561,2,0,0,2,4,12,2020-06-24 12:15:00
9,9562,3,0,0,3,43,109,2020-06-24 12:15:00
9,9563,2,0,0,2,11,35,2020-06-24 12:15:00
9,9564,7,1,1,5,109,125,2020-06-24 12:15:00
9,9565,1,0,0,1,4,3,2020-06-24 12:15:00
9,9571,3,0,0,3,4,13,2020-06-24 12:15:00
9,9572,1,0,0,1,2,4,2020-06-24 12:15:00
9,9574,3,0,0,3,6,10,2020-06-24 12:15:00
9,9575,3,0,0,2,21,50,2020-06-24 12:15:00
9,9576,1,0,0,1,0,0,2020-06-24 12:15:00
9,9577,2,0,0,2,2,14,2020-06-24 12:15:00
9,9661,2,0,0,1,5,48,2020-06-24 12:15:00
9,9662,2,1,0,2,4,47,2020-06-24 12:15:00
9,9663,3,1,1,3,29,88,2020-06-24 12:15:00
9,9671,1,0,0,1,0,8,2020-06-24 12:15:00
9,9672,3,0,0,3,10,10,2020-06-24 12:15:00
9,9673,1,0,0,1,28,130,2020-06-24 12:15:00
9,9674,2,0,0,2,0,0,2020-06-24 12:15:00
9,9675,1,0,0,1,10,5,2020-06-24 12:15:00
9,9676,1,0,0,1,2,12,2020-06-24 12:15:00
9,9677,1,0,0,1,2,7,2020-06-24 12:15:00
9,9678,2,0,0,2,0,0,2020-06-24 12:15:00
9,9679,1,0,0,1,0,0,2020-06-24 12:15:00
9,9761,3,0,0,2,36,100,2020-06-24 12:15:00
9,9762,1,0,0,1,11,10,2020-06-24 12:15:00
9,9763,1,0,0,1,4,27,2020-06-24 12:15:00
9,9764,1,0,0,1,11,33,2020-06-24 12:15:00
9,9771,2,0,0,2,13,13,2020-06-24 12:15:00
9,9772,2,0,0,2,0,0,2020-06-24 12:15:00
9,9773,2,0,0,2,5,19,2020-06-24 12:15:00
9,9774,4,0,0,4,18,29,2020-06-24 12:15:00
9,9775,2,1,0,2,9,16,2020-06-24 12:15:00
9,9776,2,0,0,2,8,6,2020-06-24 12:15:00
9,9777,3,0,0,3,13,11,2020-06-24 12:15:00
9,9778,2,0,0,2,1,5,2020-06-24 12:15:00
9,9779,3,1,0,3,8,24,2020-06-24 12:15:00
9,9780,2,0,0,2,10,12,2020-06-24 12:15:00
10,10041,7,0,0,7,48,91,2020-06-24 12:15:00
10,10042,2,1,1,2,15,13,2020-06-24 12:15:00
10,10043,3,0,0,3,22,27,2020-06-24 12:15:00
10,10044,4,1,0,3,17,36,2020-06-24 12:15:00
10,10045,2,4,1,2,103,169,2020-06-24 12:15:00
10,10046,1,0,0,1,6,10,2020-06-24 12:15:00
11,11000,61,32,27,42,299,934,2020-06-24 12:15:00
12,12051,3,0,0,3,7,43,2020-06-24 12:15:00
12,12052,2,0,0,2,40,67,2020-06-24 12:15:00
12,12053,1,0,0,1,12,29,2020-06-24 12:15:00
12,12054,4,0,0,4,12,43,2020-06-24 12:15:00
12,12060,2,2,1,2,35,57,2020-06-24 12:15:00
12,12061,5,0,0,5,1,6,2020-06-24 12:15:00
12,12062,3,0,0,3,19,25,2020-06-24 12:15:00
12,12063,4,0,0,2,15,14,2020-06-24 12:15:00
12,12064,3,1,1,3,9,12,2020-06-24 12:15:00
12,12065,5,0,0,5,28,30,2020-06-24 12:15:00
12,12067,4,0,0,4,71,81,2020-06-24 12:15:00
12,12068,3,0,0,3,19,47,2020-06-24 12:15:00
12,12069,3,0,0,3,16,42,2020-06-24 12:15:00
12,12070,2,0,0,2,6,8,2020-06-24 12:15:00
12,12071,3,0,0,3,8,15,2020-06-24 12:15:00
12,12072,2,0,0,2,5,17,2020-06-24 12:15:00
12,12073,4,0,0,4,17,24,2020-06-24 12:15:00
13,13003,2,1,1,2,36,83,2020-06-24 12:15:00
13,13004,1,0,0,1,11,43,2020-06-24 12:15:00
13,13071,5,1,0,5,32,35,2020-06-24 12:15:00
13,13072,6,0,0,4,25,20,2020-06-24 12:15:00
13,13073,4,0,0,4,19,39,2020-06-24 12:15:00
13,13074,2,0,0,2,24,26,2020-06-24 12:15:00
13,13075,7,0,0,7,57,158,2020-06-24 12:15:00
13,13076,7,0,0,7,42,133,2020-06-24 12:15:00
14,14511,3,0,0,3,29,147,2020-06-24 12:15:00
14,14521,6,0,0,6,28,47,2020-06-24 12:15:00
14,14522,5,0,0,5,34,24,2020-06-24 12:15:00
14,14523,4,0,0,4,19,17,2020-06-24 12:15:00
14,14524,6,0,0,5,34,63,2020-06-24 12:15:00
14,14612,12,0,0,6,45,129,2020-06-24 12:15:00
14,14625,6,3,3,5,18,33,2020-06-24 12:15:00
14,14626,5,0,0,5,9,17,2020-06-24 12:15:00
14,14627,5,0,0,5,45,51,2020-06-24 12:15:00
14,14628,6,31,6,6,56,50,2020-06-24 12:15:00
14,14713,9,0,0,7,127,299,2020-06-24 12:15:00
14,14729,4,0,0,3,3,12,2020-06-24 12:15:00
14,14730,8,0,0,8,20,35,2020-06-24 12:15:00
15,15001,2,0,0,2,25,17,2020-06-24 12:15:00
15,15002,6,0,0,5,77,225,2020-06-24 12:15:00
15,15003,7,2,1,5,32,135,2020-06-24 12:15:00
15,15081,2,0,0,2,9,11,2020-06-24 12:15:00
15,15082,3,0,0,3,20,12,2020-06-24 12:15:00
15,15083,2,0,0,2,25,13,2020-06-24 12:15:00
15,15084,3,0,0,3,26,7,2020-06-24 12:15:00
15,15085,4,0,0,4,22,17,2020-06-24 12:15:00
15,15086,2,2,2,2,14,3,2020-06-24 12:15:00
15,15087,3,0,0,3,15,12,2020-06-24 12:15:00
15,15088,2,0,0,2,4,13,2020-06-24 12:15:00
15,15089,4,0,0,4,23,19,2020-06-24 12:15:00
15,15090,2,0,0,2,34,17,2020-06-24 12:15:00
15,15091,2,0,0,2,31,32,2020-06-24 12:15:00
16,16051,2,0,0,2,23,60,2020-06-24 12:15:00
16,16052,1,0,0,1,9,37,2020-06-24 12:15:00
16,16053,1,1,1,1,21,94,2020-06-24 12:15:00
16,16054,1,1,1,1,11,11,2020-06-24 12:15:00
16,16055,1,0,0,1,0,0,2020-06-24 12:15:00
16,16056,1,0,0,1,27,17,2020-06-24 12:15:00
16,16061,3,0,0,3,11,11,2020-06-24 12:15:00
16,16062,3,2,0,3,36,45,2020-06-24 12:15:00
16,16063,3,0,0,3,33,54,2020-06-24 12:15:00
16,16064,3,1,0,3,53,20,2020-06-24 12:15:00
16,16065,1,0,0,1,6,7,2020-06-24 12:15:00
16,16066,2,0,0,2,11,37,2020-06-24 12:15:00
16,16067,2,0,0,2,22,20,2020-06-24 12:15:00
16,16068,1,0,0,1,5,9,2020-06-24 12:15:00
16,16069,1,0,0,1,0,0,2020-06-24 12:15:00
16,16070,2,0,0,2,10,6,2020-06-24 12:15:00
16,16071,3,0,0,3,54,72,2020-06-24 12:15:00
16,16072,1,0,0,1,5,3,2020-06-24 12:15:00
16,16073,1,0,0,1,0,0,2020-06-24 12:15:00
16,16074,1,0,0,1,0,0,2020-06-24 12:15:00
16,16075,1,0,0,1,0,0,2020-06-24 12:15:00
16,16076,1,0,0,1,6,6,2020-06-24 12:15:00
16,16077,2,0,0,1,8,0,2020-06-24 12:15:00
